Inflation measures,Series Name,Description,Aggregation,Sample country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,CORE_EMDE_AVE_GDP,EMDE core consumer price index inflation,GDP-weighted Average,62,0.21,7.04,2.55,7.56,30.04,12.18,4.30,4.13,2.68,10.42,25.94,27.84,5.70,4.64,4.86,14.35,4.75,3.44,20.22,16.04,21.08,20.16,13.09,13.68,10.32,20.66,19.91,12.21,9.01,9.52,6.53,5.17,7.66,7.10,6.18,5.64,3.77,3.74,5.36,3.84,3.73,4.52,4.37,4.76,4.73,4.25,3.70,3.57,3.25,3.13,2.43,3.37,4.26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producer price index,PPI_GLOBAL_MED,Global producer price index (PPI) inflation,Median,113,5.73,4.04,5.17,12.44,19.41,11.37,8.91,7.94,7.67,11.85,16.07,10.97,9.82,6.50,6.54,5.06,0.89,2.78,4.23,5.37,3.93,2.87,1.58,3.96,6.06,7.55,4.08,3.74,3.01,1.77,6.59,2.50,0.35,2.68,5.78,5.29,5.77,3.68,9.81,-2.31,5.32,8.04,3.09,0.38,-0.12,-0.95,-0.45,3.39,3.95,1.44,-0.35,9.54,18.08,
(percent),PPI_GLOBAL_AVE,Global producer price index (PPI) inflation,Average,113,6.71,3.46,6.47,12.61,18.98,9.76,10.51,8.93,7.03,10.73,17.97,9.92,8.36,6.31,7.05,6.86,2.90,4.56,5.04,6.57,4.67,6.28,2.45,4.40,7.82,10.98,8.19,5.32,4.64,4.21,9.58,4.12,2.57,4.74,6.53,6.01,6.82,5.35,11.82,-2.55,7.58,9.50,3.80,1.57,1.57,-1.07,1.03,5.93,5.88,2.71,0.08,10.85,18.75,
,PPI_GLOBAL_AVE_GDP,Global producer price index (PPI) inflation,GDP-weighted Average,113,5.07,1.86,4.22,12.11,19.66,7.55,7.48,5.35,3.87,8.47,15.64,5.38,4.55,2.95,4.81,1.65,-2.17,1.27,2.90,4.32,3.40,2.31,1.17,1.51,1.64,4.08,2.16,1.82,-0.12,0.90,5.08,1.42,-0.62,3.29,4.86,5.59,4.73,3.75,8.73,-4.74,4.99,6.57,2.40,1.28,0.72,-1.90,-0.19,4.34,4.40,2.00,-0.54,8.55,13.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPI_AE_MED,Advanced-economy PPI inflation,Median,36,4.90,4.23,4.81,12.53,18.81,7.83,8.18,7.81,6.66,11.86,15.64,10.68,8.51,5.50,5.68,4.22,-1.26,2.44,3.80,5.11,3.11,1.37,1.10,2.52,2.52,4.02,2.02,1.48,0.58,0.52,5.43,1.50,0.05,0.63,3.36,4.27,5.11,2.77,6.47,-3.31,3.86,6.14,2.30,-0.30,-1.32,-2.17,-1.49,3.09,3.77,0.88,-1.56,9.62,22.12,
,PPI_AE_AVE,Advanced-economy PPI inflation,Average,36,6.99,3.74,5.68,12.14,17.20,7.86,10.18,6.62,6.21,9.67,18.06,8.86,7.67,4.84,5.95,3.88,0.24,2.67,3.64,5.60,2.78,4.91,1.80,4.89,6.72,9.30,5.26,3.06,2.00,1.35,7.03,2.37,1.00,1.92,4.54,4.54,5.16,3.38,8.59,-3.77,5.20,6.91,2.20,-0.24,-1.14,-3.51,-2.53,3.90,5.03,0.73,-1.98,10.03,20.53,
,PPI_AE_AVE_GDP,Advanced-economy PPI inflation,GDP-weighted Average,36,5.04,1.70,4.01,11.88,19.31,7.48,7.60,5.09,3.84,8.27,15.47,5.00,4.42,2.65,4.66,1.31,-2.60,0.75,2.63,4.03,2.87,1.64,0.72,1.09,1.08,3.14,1.10,0.83,-0.92,0.17,4.23,0.82,-1.35,2.20,3.95,5.19,4.42,3.08,7.65,-5.67,3.64,4.94,1.69,0.63,-0.16,-2.18,-0.90,3.21,3.45,1.33,-1.28,8.64,13.82,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPI_EMDE_MED,EMDE producer price index (PPI) inflation,Median,77,6.61,4.04,7.84,13.35,22.62,15.58,13.30,14.16,8.92,11.73,16.83,12.76,13.04,8.79,8.47,11.79,6.74,10.40,11.07,15.23,21.47,30.99,19.24,18.26,29.99,27.03,21.83,11.89,8.73,5.70,11.15,5.66,3.59,5.33,6.98,6.86,6.96,6.31,12.85,-0.26,7.08,9.46,3.71,1.77,1.92,0.94,1.41,4.11,4.44,2.09,0.47,10.76,17.98,
,PPI_EMDE_AVE,EMDE producer price index (PPI) inflation,Average,77,6.85,4.63,7.74,13.44,22.55,14.00,11.19,14.70,13.56,12.19,19.69,13.46,10.35,9.77,9.12,12.97,9.89,10.29,9.24,10.46,10.93,16.71,6.51,8.12,14.27,18.62,16.36,9.76,9.38,9.04,13.83,7.33,5.66,8.73,9.04,7.20,8.56,7.30,15.09,-1.30,9.75,11.77,4.97,2.83,3.47,0.12,2.90,7.36,7.08,3.94,0.70,11.70,16.99,
,PPI_EMDE_AVE_GDP,EMDE producer price index (PPI) inflation,GDP-weighted Average,77,6.16,5.41,8.50,16.66,26.13,9.16,4.86,11.05,5.50,13.52,19.73,13.66,7.35,9.09,8.22,9.23,8.67,11.80,9.78,9.63,13.06,18.75,10.82,9.67,11.06,18.18,11.97,7.44,5.02,5.81,10.37,4.98,3.84,9.06,9.40,7.14,6.01,5.92,11.73,-1.73,8.27,10.17,3.76,2.39,2.18,-1.57,1.01,6.29,6.55,3.13,0.63,8.62,12.26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP deflator growth rate,DEFLATOR_GLOBAL_MED,Global GDP deflator growth rate,Median,196,4.67,5.40,6.19,11.41,16.89,12.89,9.38,10.45,8.17,12.95,13.16,10.13,8.31,7.48,7.82,5.86,5.23,6.95,7.02,7.84,7.57,7.95,6.28,7.52,10.09,9.54,6.94,5.70,4.81,4.44,4.45,3.86,3.61,4.05,5.75,5.78,6.53,6.15,8.58,2.36,4.59,5.65,3.76,2.34,2.07,2.15,1.91,2.99,2.75,2.21,1.84,4.51,6.67,
(percent),DEFLATOR_GLOBAL_AVE,Global GDP deflator growth rate,Average,196,5.85,6.09,6.81,12.23,17.30,13.18,10.19,10.72,8.74,13.74,14.86,9.84,9.10,8.93,8.02,8.59,5.79,8.48,9.30,8.79,11.31,9.08,8.40,8.43,11.54,10.95,9.21,7.08,5.32,7.05,7.87,5.39,6.24,6.26,7.29,8.11,7.25,7.12,10.17,2.00,6.79,7.07,5.33,3.66,3.50,2.10,3.49,4.75,4.69,2.84,2.80,6.86,8.39,
,DEFLATOR_GLOBAL_AVE_GDP,Global GDP deflator growth rate,GDP-weighted Average,194,7.33,6.56,5.68,8.75,13.81,11.27,9.48,9.61,8.92,9.68,11.93,9.55,7.45,5.88,4.97,4.30,3.59,3.84,4.25,5.07,5.45,5.89,4.08,3.84,3.37,3.77,4.04,2.80,2.00,1.89,3.33,2.34,2.69,2.64,3.56,3.83,3.78,4.12,5.05,1.14,3.83,4.52,3.13,2.81,2.72,1.39,1.96,3.17,3.47,2.29,1.78,4.93,6.35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEFLATOR_AE_MED,Advanced-economy GDP deflator growth rate,Median,37,6.48,7.36,7.19,12.20,15.18,13.24,10.66,8.83,8.14,11.34,13.35,10.69,7.78,5.25,5.33,4.62,3.97,5.13,4.46,5.32,5.30,3.24,3.18,3.44,2.65,3.93,3.11,2.08,2.02,2.26,2.88,2.50,2.73,2.37,3.07,2.79,2.85,3.48,3.94,0.98,1.83,2.16,2.00,1.31,1.33,0.98,0.86,1.91,2.25,1.86,0.96,2.86,6.84,
,DEFLATOR_AE_AVE,Advanced-economy GDP deflator growth rate,Average,37,8.43,8.24,8.26,13.21,16.16,13.71,12.79,10.74,9.79,13.27,14.48,11.65,7.22,6.01,5.81,5.62,2.63,7.41,5.93,6.81,7.43,5.22,5.37,4.96,6.28,7.00,6.32,3.44,1.55,4.34,4.97,2.73,2.97,3.38,4.49,5.16,4.41,4.74,6.86,-0.57,2.86,4.32,2.83,1.02,1.22,-0.97,0.78,2.77,3.18,1.55,-0.02,4.97,8.84,
,DEFLATOR_AE_AVE_GDP,Advanced-economy GDP deflator growth rate,GDP-weighted Average,37,7.96,6.11,5.46,8.01,12.42,10.91,8.38,7.93,7.57,8.77,10.79,9.08,7.23,5.03,4.17,3.72,2.93,2.80,3.40,4.15,4.35,5.18,3.16,2.57,2.11,2.35,1.98,1.55,1.08,1.04,1.74,1.69,1.50,1.63,2.11,2.47,2.44,2.56,2.60,0.31,1.33,1.89,1.36,1.25,1.35,0.58,0.87,1.77,2.12,1.55,1.21,3.54,6.08,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEFLATOR_EMDE_MED,EMDE GDP deflator growth rate,Median,154,4.32,4.61,6.02,11.41,17.45,12.74,9.25,11.15,8.47,13.59,13.88,9.57,8.24,7.80,9.03,7.56,5.74,8.05,8.11,8.77,11.38,10.93,8.94,10.44,14.33,11.68,8.68,7.00,6.17,6.47,6.21,4.75,3.96,5.28,7.33,7.02,7.82,6.80,10.38,3.02,6.14,7.81,4.92,2.99,2.73,2.48,2.63,4.24,3.55,2.33,2.36,5.92,8.29,
,DEFLATOR_EMDE_AVE,EMDE GDP deflator growth rate,Average,154,4.97,5.90,6.55,12.32,18.12,13.31,9.69,10.61,8.27,14.69,15.58,9.09,9.12,9.41,8.16,9.33,5.64,9.02,9.98,9.21,12.61,9.96,9.41,9.66,13.44,12.84,10.58,8.25,6.04,8.63,9.40,6.13,7.35,7.47,8.64,9.57,8.24,8.07,11.96,2.30,8.28,8.49,6.30,4.29,4.10,2.28,4.20,5.65,5.43,3.12,3.32,7.98,11.25,
,DEFLATOR_EMDE_AVE_GDP,EMDE GDP deflator growth rate,GDP-weighted Average,152,4.62,9.14,6.77,12.71,20.36,12.86,14.69,16.66,15.34,17.73,20.70,12.00,8.10,9.66,8.67,7.34,5.96,11.77,10.49,11.90,14.10,11.83,11.85,12.88,12.66,15.07,14.40,8.38,5.71,7.07,10.68,5.06,7.80,7.01,9.59,9.41,8.34,8.65,11.70,2.19,9.29,9.87,6.21,5.12,4.67,1.79,3.48,5.60,5.94,3.36,2.32,7.54,7.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEFLATOR_EAP_MED,EMDE GDP deflator growth rate: East Asia and Pacific ,Median,25,1.91,3.48,6.06,12.48,23.78,8.79,4.97,8.38,5.73,11.60,8.19,3.61,5.05,6.94,6.12,4.02,1.86,8.05,9.72,6.72,7.20,9.44,7.95,6.78,5.59,9.71,4.49,6.26,7.72,6.03,2.67,3.62,3.67,3.25,5.12,5.57,5.10,5.78,8.32,1.68,4.37,7.49,3.58,2.06,3.02,2.35,2.44,3.25,3.54,2.20,1.00,2.84,5.10,
,DEFLATOR_ECA_MED,EMDE GDP deflator growth rate: Europe and Central Asia ,Median,25,4.19,7.85,8.52,11.85,15.95,16.78,15.61,23.38,20.63,16.93,13.35,3.40,3.62,0.00,2.44,3.68,3.74,2.38,2.33,6.28,25.65,58.49,63.69,748.08,276.45,143.93,43.03,17.87,11.89,18.15,17.54,10.16,5.80,8.00,8.35,7.13,10.01,11.08,9.60,4.04,7.01,8.20,4.79,3.26,3.26,2.22,2.84,4.68,4.01,4.35,2.20,7.13,12.79,
,DEFLATOR_LAC_MED,EMDE GDP deflator growth rate: Latin America and the Caribbean ,Median,35,5.23,5.90,6.79,14.83,21.79,16.95,10.43,12.15,8.61,14.78,17.87,9.36,8.07,7.46,10.57,9.68,8.12,8.45,12.37,13.19,22.49,21.45,8.91,10.44,10.14,10.69,3.91,3.74,5.37,3.83,3.93,3.91,4.07,4.77,5.82,6.22,6.39,6.50,7.79,3.74,4.91,5.66,3.93,2.92,2.80,2.76,2.71,3.56,2.35,2.53,1.43,3.96,7.80,
,DEFLATOR_MNA_MED,EMDE GDP deflator growth rate: Middle East and North Africa ,Median,18,1.30,5.16,3.07,8.51,16.46,9.62,10.32,11.80,6.46,23.76,21.00,10.56,4.13,5.83,3.11,3.38,0.04,8.20,6.37,8.46,13.84,4.86,5.60,3.42,5.80,7.84,7.71,4.10,-1.37,9.93,12.36,0.09,4.12,5.81,10.96,16.32,9.66,8.43,18.10,-9.95,11.80,14.35,4.81,1.31,0.15,-6.46,0.25,6.39,11.51,0.49,-0.47,14.79,19.55,
,DEFLATOR_SAR_MED,EMDE GDP deflator growth rate: South Asia ,Median,8,4.32,4.47,6.02,12.96,18.34,6.73,1.21,1.25,9.37,12.56,11.96,9.70,8.09,8.52,8.24,7.20,6.79,9.33,8.24,8.61,10.67,12.55,10.20,9.29,8.61,9.06,6.59,7.06,6.55,5.33,3.51,3.10,3.61,4.18,6.72,5.94,7.36,7.08,9.16,6.41,7.70,9.10,8.05,6.76,5.15,4.60,3.65,4.52,3.52,4.01,4.36,5.11,6.91,
,DEFLATOR_SSA_MED,EMDE GDP deflator growth rate: Sub-Saharan Africa ,Median,48,4.32,4.18,6.11,9.97,13.30,15.66,9.93,11.69,8.13,12.64,12.01,10.67,10.47,10.29,11.12,10.40,7.02,7.26,6.67,9.53,6.37,10.55,6.15,10.19,18.48,11.68,10.00,5.74,6.48,7.00,6.31,5.99,3.58,5.87,7.33,7.46,8.00,6.92,10.71,4.27,5.92,8.39,5.65,3.60,2.13,2.77,4.69,4.27,2.51,1.83,3.91,5.78,7.79,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"* In calculating average or GDP-weighted average inflation, annual inflation over 50 percent is excluded from the sample. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
