Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,433,Iraq,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.82,31.71,19.26,13.01,5.12,2.89,6.46,5.60,2.39,1.64,1.67,-0.19,0.44,0.14,-0.07,0.99,6.42,4.77,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,176,Iceland,Inflation,Official Core Consumer Price Inflation,,,,,,-42.67,84.40,,,,,,,,,-1.20,,,,,,,,3.68,2.53,1.49,1.88,1.12,1.92,3.26,4.73,6.55,6.17,3.03,3.21,5.05,6.29,6.55,11.40,11.39,4.68,2.61,4.59,4.10,2.73,2.09,2.16,2.43,2.53,2.93,2.89,4.38,7.79,,All Items Excluding Fruits & Veg & Regulated Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,436,Israel,Inflation,Official Core Consumer Price Inflation,,11.67,14.63,20.17,36.34,36.15,32.31,32.39,52.22,78.15,114.95,125.13,121.61,145.39,368.60,299.84,51.64,22.57,16.18,18.45,18.12,20.10,12.10,12.10,13.23,10.12,10.89,8.82,5.41,4.54,0.31,1.03,5.95,-0.27,-1.21,0.11,1.43,0.05,2.82,4.25,2.86,2.96,1.26,0.88,0.76,0.50,0.05,-0.02,0.68,0.90,-0.14,1.25,3.94,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,136,Italy,Inflation,Official Core Consumer Price Inflation,17.15182304,5.81,5.65,10.48,16.52,16.88,35.28,-20.30,12.50,15.31,40.72,18.21,17.01,10.57,11.26,9.58,6.98,5.39,5.54,6.38,6.18,5.83,5.65,5.32,4.17,5.05,4.09,2.59,-12.36,-3.55,9.69,10.14,-22.89,2.48,2.13,2.05,1.73,1.91,35.20,-13.39,13.78,-3.33,1.75,1.12,0.83,0.68,-28.62,0.69,0.61,0.60,0.49,0.80,2.92,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,439,Jordan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,9.51,-0.84,4.88,4.52,4.48,4.15,4.16,-0.69,0.61,4.74,4.60,1.04,0.18,1.77,3.22,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,158,Japan,Inflation,Official Core Consumer Price Inflation,6.876436,7.01,5.60,11.50,20.62,11.33,9.78,8.55,5.32,3.91,5.90,4.73,3.00,2.45,2.77,2.59,1.68,1.26,1.01,2.50,2.65,2.72,2.45,1.41,0.88,0.40,0.38,1.70,0.71,-0.13,-0.49,-0.88,-0.77,-0.30,-0.39,-0.31,-0.23,-0.14,0.35,-0.78,-1.10,-0.75,-0.49,-0.09,1.98,1.02,0.40,-0.07,0.19,0.45,0.11,-0.73,0.34,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,916,Kazakhstan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,7.20,6.82,7.65,10.16,17.85,8.21,6.48,8.05,5.55,4.32,6.71,7.67,15.40,6.96,6.19,7.42,7.43,7.99,15.13,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,917,Kyrgyz Republic,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,1.29,0.27,2.03,5.69,3.53,3.97,1.69,3.65,5.22,6.36,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,542,"Korea, Rep.",Inflation,Official Core Consumer Price Inflation,,,20.50,27.32,41.50,16.02,15.64,9.49,11.86,19.54,28.28,20.64,8.65,4.10,2.10,2.23,3.70,3.03,6.09,6.04,8.44,8.30,6.19,5.16,5.11,4.60,5.09,3.43,5.88,0.33,1.87,3.62,2.97,3.06,2.93,2.35,1.80,2.32,4.26,3.55,1.76,3.18,1.68,1.65,1.99,2.20,1.60,1.48,1.17,0.89,0.35,1.37,3.60,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,443,Kuwait,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,-1.09,0.84,4.25,3.04,4.77,9.15,3.67,2.15,,,,,,,,0.65,1.09,1.56,2.26,3.28,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,544,"Lao, PDR",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,3.84,2.81,1.86,1.08,0.95,2.24,2.08,2.27,3.82,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,446,Lebanon,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,672,Libya,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.62,1.06,4.35,1.98,2.19,,,,,,,,,,,,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,524,Sri Lanka,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.86,3.62,8.49,7.87,2.13,0.77,1.82,3.11,3.38,3.68,,,,,Dynamic Core Consumer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,946,Lithuania,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,20.26,10.81,8.47,3.20,-1.03,-0.04,0.48,0.74,0.65,1.17,2.27,5.08,8.98,3.93,0.07,2.29,2.26,1.25,1.00,1.24,2.23,3.89,2.18,2.41,3.06,3.50,10.31,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,137,Luxembourg,Inflation,Official Core Consumer Price Inflation,4.308878899,4.90,5.21,6.17,-27.70,-2.39,9.57,7.11,3.55,4.16,5.83,7.42,8.84,7.72,6.33,4.15,2.45,1.00,1.83,3.19,3.12,3.39,4.28,4.23,2.63,1.99,7.55,-2.24,4.91,-7.02,31.07,-5.95,-27.15,28.19,-19.78,27.67,12.35,2.12,1.99,2.02,1.58,2.39,2.09,2.08,1.31,1.61,0.95,1.37,0.88,1.80,1.29,1.57,4.02,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,941,Latvia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13,16.67,6.82,2.26,0.74,0.62,1.64,0.76,4.42,4.32,4.75,8.45,12.16,5.38,-2.19,0.81,0.36,0.16,1.83,1.81,1.55,1.60,2.25,2.78,1.22,1.88,7.17,,All Items Excluding unprocessed food and energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,546,"Macao SAR, China",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.53,41.20,13.86,14.21,11.03,-5.87,-15.74,6.33,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,686,Morocco,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,2.00,1.60,1.10,1.50,1.60,3.10,1.70,4.50,0.70,0.40,1.80,0.90,1.50,1.20,1.40,0.80,1.30,1.80,0.58,0.54,1.59,5.83,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,273,Mexico,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,27.05,29.52,59.15,102.80,65.99,58.01,86.54,131.80,111.73,20.01,26.29,23.04,14.85,10.55,7.32,34.62,33.23,19.91,16.13,17.15,9.72,6.47,4.49,3.86,3.82,3.54,3.34,3.84,4.72,5.01,3.89,3.21,3.42,2.72,3.18,2.36,2.97,4.68,3.82,3.71,3.20,3.86,6.01,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,962,North Macedonia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,0.66,2.51,0.39,0.21,1.21,2.02,3.06,0.59,0.55,1.40,2.33,1.53,0.50,0.90,2.35,12.34,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,181,Malta,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,2.13,,,,,24.79,-23.78,,,4.01,4.03,2.38,2.91,2.28,2.74,1.86,2.90,1.87,1.75,0.76,3.86,1.48,1.05,1.48,2.65,0.65,1.68,1.57,1.17,1.03,1.79,1.36,0.77,0.65,6.20,,All Items Excluding Excluding Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,943,Montenegro,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,1.58,-1.36,-1.48,-1.27,-0.90,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,684,Mauritius,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,6.63,15.00,15.93,12.67,6.59,9.55,3.79,2.78,4.75,3.06,2.57,3.11,1.75,2.25,2.18,1.79,1.77,3.06,4.48,7.32,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,548,Malaysia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.51,2.62,1.58,1.35,1.88,1.35,1.36,2.24,3.35,2.73,1.79,0.55,1.09,0.95,0.44,1.71,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,694,Nigeria,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99,7.53,4.32,5.24,7.73,10.82,8.09,19.80,13.08,10.48,13.89,2.91,6.71,11.17,11.98,10.64,13.26,6.78,7.16,8.16,12.59,12.96,11.19,9.76,10.85,13.75,16.01,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,278,Nicaragua,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,6.23,4.98,6.41,4.41,4.16,4.13,5.79,3.60,4.36,8.24,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,138,Netherlands,Inflation,Official Core Consumer Price Inflation,3.841012001,8.46,8.30,8.22,9.74,-1.63,8.46,6.51,4.79,4.48,2.50,5.86,5.44,3.54,3.20,41.02,1.18,0.68,1.05,1.18,2.11,2.80,3.72,34.48,-23.32,3.38,2.72,1.86,2.02,2.26,2.14,3.62,3.39,2.09,1.62,1.33,0.41,1.47,2.20,4.84,1.68,1.68,1.95,2.74,1.48,1.37,32.30,0.95,1.31,7.17,2.17,1.92,4.26,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,142,Norway,Inflation,Official Core Consumer Price Inflation,-26.09815025,,,-13.24,,,,,,4.47,10.37,12.31,10.65,8.69,6.03,5.82,7.67,9.31,6.61,4.77,3.92,3.49,2.59,2.91,1.55,2.40,1.06,2.18,2.30,2.21,2.49,3.30,2.02,1.10,0.50,1.39,0.99,1.67,2.31,2.59,1.45,1.83,1.57,1.65,2.47,2.61,3.26,1.73,1.20,2.59,3.14,1.66,3.62,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,196,New Zealand,Inflation,Official Core Consumer Price Inflation,6.737318,11.03,7.57,7.54,11.14,15.63,16.06,13.17,12.25,12.52,16.13,15.27,17.16,8.37,6.19,15.37,14.99,16.72,6.76,5.31,5.90,2.96,1.15,1.27,2.30,4.32,2.42,0.95,1.05,-0.37,2.30,2.11,2.73,1.83,2.15,2.84,2.78,2.35,1.96,2.61,1.88,2.62,1.30,1.24,1.48,1.27,1.37,1.40,1.15,1.84,2.31,3.71,6.00,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,449,Oman,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,5.89,3.44,3.99,4.29,3.95,0.66,1.19,0.46,0.48,1.06,0.88,0.13,1.00,3.40,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN,283,Panama,Inflation,Official Core Consumer Price Inflation,4.60182476,5.49,6.68,11.65,28.80,12.51,5.82,9.35,5.50,7.46,13.07,13.69,5.75,3.87,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,293,Peru,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,71.42,47.60,25.24,13.54,9.97,8.81,6.74,6.54,3.67,2.33,1.12,0.99,1.08,1.14,1.37,1.95,4.57,4.36,1.92,2.97,3.58,3.50,3.50,3.82,4.00,2.97,2.33,2.39,1.78,2.40,5.59,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,566,Philippines,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.80,5.90,3.30,2.50,4.20,6.20,5.40,2.90,5.80,4.20,3.60,4.30,3.70,2.90,3.00,2.10,1.90,2.90,3.92,3.03,3.22,3.59,4.55,,All Items Excluding  Food and Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,853,Papua New Guinea,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,3.00,2.10,2.97,5.87,2.26,2.60,4.55,5.29,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,964,Poland,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,20.00,33.33,68.75,155.56,665.94,20.62,15.53,16.09,26.84,20.42,21.46,16.16,13.85,10.15,9.18,5.72,2.69,0.73,1.75,1.34,0.31,1.08,2.48,2.85,1.67,2.43,2.19,1.20,0.64,0.32,-0.25,0.78,0.74,1.89,3.88,4.10,8.96,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,182,Portugal,Inflation,Official Core Consumer Price Inflation,9.533917427,14.96,11.76,15.58,21.60,-33.34,20.16,27.53,22.40,18.76,14.83,18.20,18.83,21.04,25.47,20.86,2.56,-3.45,12.41,14.59,13.29,14.68,12.41,10.56,13.11,5.31,3.69,5.32,2.33,2.80,2.84,3.54,4.76,3.36,2.51,-17.32,13.24,2.35,1.99,1.12,0.99,-1.11,-20.14,0.19,0.07,-24.85,0.74,1.09,0.67,0.49,-0.04,0.75,5.61,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,288,Paraguay,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,20.21,14.15,9.52,6.34,12.24,7.41,5.89,4.97,9.79,13.28,3.09,5.28,9.10,6.44,10.63,2.84,4.84,7.93,2.70,3.80,4.74,3.72,4.69,4.70,3.20,2.63,2.70,4.57,7.49,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,453,Qatar,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.46,1.21,-0.43,-1.98,4.19,4.68,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,968,Romania,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,6.05,5.66,4.31,2.81,2.55,0.98,-0.84,-0.79,1.61,3.10,3.59,4.04,4.72,8.79,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,922,Russian Federation,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.67,9.99,8.06,8.17,13.70,12.07,5.46,7.63,5.56,5.63,7.59,16.28,7.47,3.50,2.51,4.17,3.01,6.69,16.34,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,714,Rwanda,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,456,Saudi Arabia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.93,-2.08,-0.63,-1.04,-1.12,-2.54,-0.38,1.31,0.93,1.85,1.15,1.42,2.87,2.03,1.18,0.89,2.08,-1.16,3.06,-0.36,3.55,4.90,1.19,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,732,Sudan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,3.27,9.39,3.61,4.52,-0.19,13.37,12.12,8.02,10.17,9.87,15.76,34.52,48.66,47.64,20.52,22.68,30.97,58.85,50.99,163.26,359.09,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,722,Senegal,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,6.65,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,576,Singapore,Inflation,Official Core Consumer Price Inflation,,,,,,-1.66,9.00,5.05,3.86,12.92,16.79,1.59,-4.40,-2.57,-0.71,-2.68,-11.66,8.26,0.41,-0.09,-1.01,3.65,1.61,1.78,2.53,2.19,1.80,1.54,0.40,0.50,1.49,1.55,-0.05,0.94,1.99,1.26,1.72,2.20,5.67,-0.02,1.52,2.17,2.55,1.71,1.95,0.50,0.90,1.45,1.68,1.04,-0.16,0.93,4.12,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,813,Solomon Islands,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,724,Sierra Leone,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
