Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,156,Canada,Inflation,Official Core Consumer Price Inflation,3.60821,2.87,4.76,6.33,10.01,10.17,7.99,7.54,7.64,8.36,9.49,11.12,10.70,6.18,3.88,4.05,5.29,4.49,4.70,5.43,4.46,6.23,2.05,1.93,0.14,2.15,1.51,1.61,1.40,1.48,1.68,2.09,2.68,2.42,1.34,1.36,1.27,2.04,1.06,1.69,1.34,1.43,1.35,0.83,1.56,2.55,2.02,1.78,2.02,2.29,1.29,2.40,5.06,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,146,Switzerland,Inflation,Official Core Consumer Price Inflation,3.435,6.41,7.25,8.81,8.79,7.25,2.25,1.39,0.92,1.66,3.24,5.40,5.80,3.70,2.80,3.53,2.66,2.06,2.16,3.19,5.33,2.37,1.14,3.79,1.01,1.98,0.90,0.35,0.18,0.03,0.91,1.03,0.63,-0.78,0.80,0.82,0.71,0.63,1.45,1.09,0.22,2.61,0.27,-0.85,-0.01,-0.35,-0.33,0.29,0.37,0.46,-0.25,0.36,1.72,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,228,Chile,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,6.38,2.54,10.24,,,3.81,3.12,3.32,2.68,1.63,1.22,2.38,2.99,2.35,5.18,1.16,0.53,1.25,2.21,1.49,3.59,4.67,4.00,2.03,1.72,2.21,2.29,3.82,8.94,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,924,China,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.87,0.97,-1.11,0.97,2.12,1.43,1.69,1.60,1.56,1.64,2.20,1.78,1.70,0.73,0.83,0.66,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,622,Cameroon,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.74,2.50,0.65,0.78,1.02,2.25,2.01,1.53,4.32,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,233,Colombia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,7.42,11.85,8.75,15.51,22.10,19.53,17.11,13.57,7.70,7.69,5.78,6.44,5.66,4.62,3.72,5.79,5.61,4.66,2.83,2.88,3.31,2.48,2.77,4.19,6.58,5.06,3.35,3.44,2.25,2.07,6.50,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,238,Costa Rica,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,17.27,13.44,11.40,10.64,10.91,10.58,8.81,9.77,9.54,10.41,10.81,7.94,12.46,9.76,5.14,4.58,4.63,5.31,4.34,1.81,0.14,1.24,2.10,2.38,1.31,0.88,4.54,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,423,Cyprus,Inflation,Official Core Consumer Price Inflation,5.141069412,4.48,3.13,13.30,,,,,,,,,-13.72,,,,,,,,-5.55,9.56,,,11.23,-22.20,,2.50,3.07,1.54,2.83,1.59,2.10,3.12,0.81,0.79,0.76,1.70,2.69,2.14,0.40,1.76,1.70,0.40,0.23,-0.34,-0.66,-0.03,0.06,0.63,-0.62,1.03,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,935,Czech Republic,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,7.57,7.86,0.02,1.94,2.45,0.56,-0.01,1.50,0.49,0.67,1.46,2.11,-0.84,0.09,1.07,0.78,0.06,0.75,0.15,0.51,2.57,1.86,2.22,3.63,4.99,12.21,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,134,Germany,Inflation,Official Core Consumer Price Inflation,3.631961,5.52,5.49,6.39,6.82,5.72,3.99,3.71,3.00,3.31,5.28,5.77,4.79,3.83,2.49,2.14,0.84,1.21,1.79,2.71,2.53,3.86,5.63,5.43,2.80,2.02,1.61,1.96,1.21,0.62,0.83,0.83,1.56,0.94,1.71,1.06,1.13,1.94,1.44,1.27,0.71,0.92,1.28,1.26,1.37,1.67,1.21,1.23,1.31,1.49,0.96,2.13,3.93,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
