Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,
BOL,218,Bolivia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.87,5.02,2.31,0.99,4.58,2.07,2.11,1.95,1.43,1.11,0.59,0.88,0.80,1.18,0.51,,,,,,,,,,,
BIH,963,Bosnia and Herzegovina,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.90,-0.27,0.17,-1.47,1.15,0.50,0.44,-0.40,0.09,-1.28,-1.17,-0.04,0.35,-0.52,-1.24,0.41,,,,,,,,,,,
BWA,616,Botswana,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,4.95,4.28,3.26,1.67,0.97,1.17,2.66,2.30,0.69,5.41,,,,,,,,,,,
BRA,223,Brazil,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGB,284,British Virgin Islands,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,
BRN,516,Brunei Darussalam,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.11,0.39,-0.04,-1.00,0.61,-1.29,0.73,0.05,1.52,1.33,,,,,,,,,,,
BGR,918,Bulgaria,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,-8.69,15.28,-5.96,-6.60,0.40,1.47,-0.54,-1.86,0.83,1.55,3.66,1.60,2.21,0.68,2.39,0.87,-0.90,0.13,-0.42,-1.33,-0.74,-0.22,0.68,0.35,-0.24,0.87,,,,,,,,,,,
BFA,748,Burkina Faso,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,-0.65,2.97,-0.61,0.77,-0.76,0.58,,,,,,,,,,
BDI,618,Burundi,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,-6.41,-0.25,2.22,1.09,-0.11,-1.36,-0.96,0.57,-0.33,-1.09,2.33,-3.46,0.40,0.20,1.25,1.86,1.82,-2.74,-0.59,-1.60,-1.18,,,,,,,,,,,
CPV,624,Cabo Verde,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.45,0.85,0.18,0.08,-0.25,-0.76,-0.79,0.34,1.99,2.25,0.18,0.08,0.68,0.21,1.25,,,,,,,,,,,
KHM,522,Cambodia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.72,0.15,0.02,-1.03,-0.93,-0.38,1.94,2.05,0.37,0.86,0.53,0.91,0.42,0.99,1.07,1.46,0.76,0.44,0.37,0.37,,,,,,,,,,,
CMR,622,Cameroon,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.95,1.11,0.06,0.26,0.56,1.01,0.34,0.34,,,,,,,,,,,
CAN,156,Canada,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.53,1.96,1.26,0.28,2.73,,,,,,,,,,,
CYM,377,Cayman Islands,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1.13,0.84,2.01,1.12,-1.92,-0.40,,,,,,,,,,,,,,,,
CAF,626,Central African Rep.,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,,,,,,,,,,
TCD,628,Chad,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,1.72,-0.05,-3.11,-1.03,0.54,0.76,,,,,,,,,,,
CHL,228,Chile,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.78,1.51,0.46,2.19,2.01,2.01,1.11,1.07,1.36,1.19,2.65,6.43,,,,,,,,,,
HKG,532,"China, P.R.: Hong Kong",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.12,2.25,0.37,1.59,3.64,2.91,3.20,3.30,2.08,1.68,1.20,1.68,1.57,-0.39,1.22,,,,,,,,,,,
MAC,546,"Macao SAR, China",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.16,-0.87,0.45,0.93,0.82,0.61,1.51,-0.03,1.37,2.57,1.83,0.86,1.00,0.94,1.39,1.02,1.63,1.19,-0.33,-0.01,,,,,,,,,,,
CHN,924,"China, P.R.: Mainland",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,233,Colombia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1.72,1.71,1.33,1.60,2.42,3.71,3.28,2.19,1.73,1.35,1.60,,,,,,,,,,,
COM,632,"Comoros, Union of the",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95,-1.55,-5.64,,,,,,,,,,,,,,,,,,,
COD,636,"Congo, Dem. Rep. of the",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
