Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,
KEN,664,Kenya,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,296,Kiribati,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,1.47,1.84,1.78,2.82,-2.35,-0.96,-2.14,-3.13,-0.28,0.09,0.69,-1.66,,,,,,,,,,,,,
KOR,542,"Korea, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,3.01,3.35,2.61,4.00,0.51,1.54,2.32,1.57,2.11,1.80,2.05,1.76,1.87,3.36,1.53,1.75,2.31,1.00,0.69,0.84,0.57,0.77,1.24,1.00,0.22,-0.23,1.34,3.33,,,,,,,,,,
XKX,967,"Kosovo, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.18,-0.71,-2.61,-0.37,1.62,-1.05,0.83,-1.08,-1.33,1.29,-0.80,1.55,0.48,-0.56,2.13,,,,,,,,,,,
KWT,443,Kuwait,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,1.94,1.24,1.57,1.55,1.60,1.78,0.73,1.05,1.32,1.76,,,,,,,,,,,
KGZ,917,Kyrgyz Rep.,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,544,Lao People's Dem. Rep.,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,-0.55,-2.33,-3.68,1.14,0.80,-3.27,-2.50,-1.37,-3.85,-1.04,0.59,0.60,0.76,0.87,0.97,,,,,,,,,,,
LVA,941,Latvia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.90,0.89,1.98,1.03,0.08,0.39,0.66,1.69,2.50,0.52,2.50,3.96,1.58,-0.46,0.30,0.00,-0.33,0.45,-0.36,0.58,1.15,1.47,1.16,0.22,1.53,,,,,,,,,,,
LBN,446,Lebanon,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42,-0.16,2.57,3.70,1.86,32.54,82.70,,,,,,,,,,,
LSO,666,"Lesotho, Kingdom of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.84,-0.84,-1.40,4.11,1.01,-2.06,-0.84,-1.19,0.40,3.46,1.97,0.41,-0.58,-0.17,1.94,0.09,,,,,,,,,,,
LBR,668,Liberia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.84,2.75,7.23,2.53,0.76,0.39,2.58,4.90,3.36,7.70,5.07,8.27,,,,,,,,,,,,,,
LBY,672,Libya,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,946,Lithuania,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,-34.14,-19.05,-6.59,-2.17,-2.46,-0.14,-2.74,-0.75,-0.43,-0.04,0.30,0.14,0.21,-0.15,1.90,1.07,0.22,-0.27,0.66,0.47,0.13,0.51,1.09,2.68,1.48,1.27,1.44,2.39,,,,,,,,,,,
LUX,137,Luxembourg,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.73,0.56,0.61,1.74,1.73,1.45,1.33,1.51,1.32,1.53,1.39,1.57,0.51,1.65,2.36,1.97,1.30,0.68,0.49,0.30,1.18,0.92,1.37,0.59,1.77,4.25,,,,,,,,,,
MDG,674,"Madagascar, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.76,1.78,-1.47,-3.17,-2.43,-2.89,0.20,-0.68,-1.11,-0.29,-0.64,-0.72,0.24,0.00,-1.31,-2.45,-1.55,-0.78,-1.88,-0.26,0.56,,,,,,,,,,,
MWI,676,Malawi,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.95,-2.56,-3.15,0.26,0.80,1.64,,,,,,,,,,,,
MYS,548,Malaysia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,1.34,0.32,0.37,1.49,2.07,0.68,2.17,-1.15,0.56,1.19,0.37,0.49,1.11,0.27,0.18,1.94,-0.13,-0.37,-1.00,1.49,,,,,,,,,,,
MDV,556,Maldives,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,678,Mali,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,0.77,-0.85,-0.44,-0.68,-1.13,0.87,-1.03,-2.10,-1.14,1.47,,,,,,,,,,,
MLT,181,Malta,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTQ,474,Martinique,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,682,"Mauritania, Islamic Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.83,-0.26,-0.05,-1.66,0.39,1.05,0.65,0.98,,0.05,,,,,,,,,,,
MUS,684,Mauritius,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.96,1.07,2.91,2.24,2.16,2.46,2.84,3.26,2.26,1.95,4.20,1.85,2.42,1.73,0.42,1.53,3.25,-0.57,-0.46,1.78,3.69,,,,,,,,,,,
MEX,273,Mexico,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,2.21,2.08,2.13,2.64,3.15,2.92,2.17,2.10,2.32,2.59,1.63,1.66,4.00,3.27,2.00,1.02,2.52,,,,,,,,,,,
FSM,583,"Micronesia, Federated States of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,,,,,,,,,,,,,,
MDA,921,"Moldova, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,3.48,1.78,1.77,1.83,1.69,0.72,2.25,,,,,,,,,,,
MNG,948,Mongolia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,3.46,3.37,2.14,2.51,4.54,5.32,5.79,2.07,1.09,1.90,1.55,2.12,1.14,3.05,,,,,,,,,,,
MNE,943,Montenegro,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,-1.09,-0.62,-0.20,-0.29,-0.11,1.20,2.18,-1.06,-0.52,1.06,,,,,,,,,,,
MSR,500,Montserrat,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,-0.45,0.89,0.97,-1.03,-1.63,1.04,,,,,,,,,,,
MAR,686,Morocco,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,0.28,0.32,0.19,0.15,0.57,-0.06,-0.77,0.14,0.30,1.12,0.42,0.17,0.89,,,,,,,,,,,
MOZ,688,"Mozambique, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,-0.02,0.60,-0.95,-0.57,-0.87,0.65,6.99,4.66,2.19,1.00,0.89,0.27,,,,,,,,,,,
MMR,518,Myanmar,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.44,-2.79,-1.70,-0.94,-1.55,-7.47,,,,,,,,,,,,,
NAM,728,Namibia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,4.25,7.09,5.29,2.93,2.92,4.27,3.69,3.46,2.04,3.69,3.72,3.18,2.68,1.51,2.47,,,,,,,,,,,
NRU,520,"Nauru, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,558,Nepal,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.63,0.92,1.50,,,,,,,,,,,
NLD,138,"Netherlands, The",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.17,1.54,1.83,2.74,2.50,1.50,1.30,1.29,0.46,1.19,1.57,0.85,1.29,1.77,1.87,1.84,0.63,0.29,0.12,0.85,1.23,1.67,0.98,2.18,,,,,,,,,,,
NCL,687,New Caledonia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,196,New Zealand,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.89,1.82,2.77,0.75,0.60,0.68,-0.11,0.26,1.07,1.17,1.02,0.80,2.93,,,,,,,,,,,
NIC,278,Nicaragua,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90,3.29,2.66,1.59,2.76,1.92,0.93,1.56,2.45,1.04,2.35,,,,,,,,,,,
NER,692,Niger,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69,5.43,-1.62,0.19,-4.20,-1.68,0.54,-0.03,,,,,,,,,,,
NGA,694,Nigeria,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.41,-0.90,0.15,0.63,0.84,-2.51,-2.76,-1.40,0.13,0.17,-3.35,-0.23,0.85,0.50,0.71,1.14,,,,,,,,,,,
MKD,962,"North Macedonia, Republic of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,-0.05,0.68,1.24,-1.71,-0.47,-2.34,-1.40,-0.66,-1.39,0.98,0.19,-0.76,0.53,1.36,1.14,0.20,-0.51,0.93,,,,,,,,,,,
NOR,142,Norway,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,6.65,7.41,6.04,4.80,3.18,3.10,4.34,5.84,4.02,3.05,2.56,2.44,1.70,1.99,1.02,1.80,0.67,1.67,1.51,1.66,2.27,2.35,1.04,1.07,0.22,1.15,1.45,0.50,2.50,1.53,1.79,1.17,0.78,1.29,1.46,1.64,2.63,1.49,1.82,1.80,1.31,2.45,,,,,,,,,,,
OMN,449,Oman,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,0.04,0.38,0.84,1.54,1.61,4.10,1.24,1.78,2.22,1.92,0.26,0.37,0.16,1.22,1.07,0.93,-0.13,-1.07,1.25,,,,,,,,,,,
PAK,564,Pakistan,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30,3.93,4.44,2.99,2.26,0.54,1.16,1.19,2.15,2.82,2.27,2.39,,,,,,,,,,,
PLW,585,"Palau, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,1.58,3.60,4.33,5.51,3.36,6.53,-1.71,1.07,3.09,1.67,0.93,3.34,-0.06,-2.17,0.34,0.47,0.11,-0.16,2.50,,,,,,,,,,,
PAN,283,Panama,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.66,4.03,2.76,2.27,4.16,3.16,1.82,1.58,0.72,0.63,0.57,0.76,-0.40,-0.49,2.10,,,,,,,,,,,
PNG,853,Papua New Guinea,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.84,-0.68,-1.07,3.07,1.96,1.76,1.69,3.62,2.52,,,,,,,,,,,
PRY,288,Paraguay,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,1.06,2.60,1.83,0.20,1.50,1.18,0.07,1.46,1.22,1.43,1.02,2.12,1.65,1.06,,,,,,,,,,,,
PER,293,Peru,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,566,Philippines,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,964,"Poland, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.42,0.56,1.04,1.51,1.16,0.10,-0.06,-0.61,-0.74,0.60,0.64,0.58,0.33,2.14,,,,,,,,,,,
PRT,182,Portugal,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,2.14,1.67,1.32,1.17,1.66,1.53,2.02,2.71,1.92,1.55,1.54,1.86,1.28,1.12,-0.57,0.65,2.07,0.65,-0.53,-0.47,0.22,0.42,0.94,0.40,0.22,-0.44,0.73,,,,,,,,,,,
QAT,453,Qatar,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,2.25,2.17,2.34,1.35,2.40,0.54,0.75,-0.39,-1.91,2.63,,,,,,,,,,,
ROU,968,Romania,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,922,Russian Federation,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.49,0.57,1.65,2.79,3.35,1.47,1.70,2.59,2.25,2.66,5.92,3.07,1.36,1.15,,,,,,,,,,,,,,
RWA,714,Rwanda,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.40,-1.35,-0.24,2.62,-2.04,1.19,0.14,-0.30,0.75,-0.24,-0.07,0.73,2.45,-1.70,0.87,2.48,-0.03,,,,,,,,,,,
WSM,882,Samoa,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,-1.05,0.38,-3.54,-0.01,2.19,0.35,0.94,-0.37,2.34,4.05,1.35,2.44,-1.20,1.38,0.49,,,,,,,,,,,
SMR,674,"San Marino, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,0.47,0.37,-0.46,0.29,0.65,,,,,,,,,,,,,,,
SAU,456,Saudi Arabia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,0.64,1.40,-0.55,1.47,-0.87,,,,,,,,,,,,,
SEN,722,Senegal,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,-0.28,-0.42,-0.03,0.06,0.13,-1.11,2.38,-1.13,-0.77,0.18,0.53,0.38,1.09,0.42,0.35,0.56,0.01,0.87,0.50,,,,,,,,,,,,
SRB,942,"Serbia, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.36,1.64,0.97,2.18,2.45,0.58,-0.52,0.50,1.37,0.80,0.55,0.12,1.05,,,,,,,,,,,
SYC,718,Seychelles,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44,16.51,-2.29,1.06,1.23,1.70,0.92,4.27,0.28,0.89,2.18,0.72,-2.51,,,,,,,,,,,,
SLE,724,Sierra Leone,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.47,1.33,1.42,1.80,1.45,1.26,1.96,2.75,5.47,3.57,6.14,6.40,1.63,,,,,,,,,,,
SGP,576,Singapore,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,-0.36,2.10,,,,,,,,,,,
SXM,534,"Sint Maarten, Kingdom of the Netherlands",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,936,Slovak Rep.,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,3.29,1.50,2.24,1.18,2.21,1.08,0.64,1.98,2.26,0.75,0.17,-0.11,0.18,0.84,1.47,1.30,1.00,2.52,,,,,,,,,,,
SVN,961,"Slovenia, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,4.35,3.26,2.05,1.00,1.16,1.84,2.22,0.80,0.01,0.10,1.28,0.64,0.23,-0.45,-0.04,0.61,0.58,0.65,-0.44,1.07,,,,,,,,,,,
SLB,90,Solomon Islands,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,-0.15,2.57,-0.31,,,,,,,,,,,
SOM,706,Somalia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,-0.99,0.30,2.66,1.01,0.32,,,,,,,,,,,
ZAF,199,South Africa,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,2.65,2.47,3.24,3.71,3.65,2.57,3.38,3.13,3.13,2.66,1.81,2.98,,,,,,,,,,,
SSD,728,"South Sudan, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.48,3.07,-7.77,-16.75,8.42,-9.00,-10.49,-164.66,-91.57,-43.82,-69.26,2.07,,,,,,,,,,,,
ESP,184,Spain,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,1.37,1.45,1.14,1.16,1.54,-0.33,1.30,1.51,1.10,0.73,-0.34,-0.32,0.33,0.94,0.90,0.78,-0.09,0.03,,,,,,,,,,,
LKA,524,Sri Lanka,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37,2.55,2.34,1.67,-0.29,0.43,1.60,,,,,,,,,,,
KNA,361,St. Kitts and Nevis,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,3.20,1.61,1.16,4.00,0.39,0.80,0.25,-0.42,0.37,0.70,-1.24,-0.56,-1.18,1.09,,,,,,,,,,,
LCA,362,St. Lucia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,0.21,1.71,1.52,2.23,1.23,1.57,-2.84,-1.32,-0.45,-2.58,0.48,-0.25,0.55,,,,,,,,,,,
VCT,364,St. Vincent and the Grenadines,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.31,-0.14,-0.30,0.32,1.27,1.27,0.62,-0.47,0.54,,,,,,,,,,,
SDN,732,Sudan,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.54,-1.17,1.08,6.78,-9.33,-7.07,-10.33,,,,,,,,,,,
SUR,366,Suriname,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,2.85,1.64,-0.95,2.23,9.19,-0.02,-0.92,-1.05,-6.38,19.14,12.46,,,18.79,22.48,,,,,,,,,,,
SWE,144,Sweden,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.27,0.70,-0.17,0.49,0.80,1.49,1.32,1.31,0.41,0.50,0.79,1.42,1.64,-0.17,0.98,1.57,0.50,-0.24,-0.11,-0.02,0.72,1.14,1.11,0.98,0.22,1.49,,,,,,,,,,,
CHE,146,Switzerland,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,2.65,0.75,1.46,0.62,0.31,0.01,0.69,0.95,0.49,0.36,0.44,0.55,0.91,0.76,0.44,1.54,-0.34,0.54,0.32,-0.68,-0.36,-0.22,-0.99,-0.47,0.36,0.66,0.31,-0.71,0.60,2.10,,,,,,,,,,
SYR,463,Syrian Arab Rep.,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,716,São Tomé and Principe,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,-1.75,,,,,,,,,,,,,,
TJK,923,"Tajikistan, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,738,"Tanzania, United Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,578,Thailand,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.41,0.11,-1.48,-0.02,0.61,0.54,-0.28,-0.92,1.97,1.37,,,,,,,,,,
TLS,537,Timor-Leste,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40,0.86,0.76,0.36,0.53,0.13,,,,,,,,,,,,,
TGO,742,Togo,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,2.05,2.31,2.11,1.22,0.11,0.72,2.80,0.49,-0.43,2.08,0.57,1.26,1.46,-0.11,1.06,0.63,1.09,0.20,-0.31,1.04,1.01,-0.01,,,,,,,,,,,,
TON,866,Tonga,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.33,0.52,5.50,-4.15,2.92,4.28,0.58,-0.59,0.52,-1.87,1.00,-0.94,0.58,0.32,0.94,0.38,,,,,,,,,,,
TTO,369,Trinidad and Tobago,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,2.29,3.63,3.99,6.37,3.89,6.51,2.99,5.39,3.60,3.75,3.02,1.84,1.36,0.72,0.91,0.11,1.30,,,,,,,,,,,
TUN,744,Tunisia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.55,0.89,0.72,1.33,1.21,2.01,2.40,1.92,1.94,1.63,2.43,4.14,3.66,3.17,2.74,,,,,,,,,,,
TUV,869,Tuvalu,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,186,"Türkiye, Rep of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,2.03,1.16,1.53,3.92,3.25,3.68,3.57,4.38,3.12,4.85,6.63,8.55,7.50,6.30,8.70,,,,,,,,,,,
UGA,746,Uganda,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,926,Ukraine,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.12,3.30,0.64,2.84,-5.35,,,,,,,,,,,
ARE,466,United Arab Emirates,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,0.30,0.40,0.29,0.69,1.61,2.67,0.97,1.67,3.01,-0.99,-2.08,,,,,,,,,,,,
GBR,112,United Kingdom,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,3.47,4.55,5.10,3.25,1.85,1.56,1.62,1.73,1.77,1.34,1.32,0.98,0.81,1.15,1.06,1.08,1.58,1.89,1.72,2.32,1.24,2.23,3.09,2.04,1.76,1.29,0.48,1.07,2.21,1.97,1.49,0.86,2.30,,,,,,,,,,,
